lat ; long ; site
56.502766	;	8.241654	; {1 JJ}
56.502766	;	8.241654	; {1 JJ}
56.47816	;	8.200646	; {2 PB}
56.47816	;	8.200646	; {2 PB}
56.379132	;	8.338065	; {3 ORP}
56.530332	;	8.430375	; {5 HPK}
56.468536	;	8.233101	; {6 LN}
56.468536	;	8.233101	; {6 LN}
56.458281	;	8.527743	; {7 MJ}
56.435811	;	8.310727	; {8 HB}
56.435811	;	8.310727	; {8 HB}
56.436327	;	8.308107	; {9 HB}
56.468822	;	8.211426	; {10 JSK}
56.468822	;	8.211426	; {10 JSK}
56.468748	;	8.215242	; {11 JSK}
56.533696	;	8.184356	; {12 ISL}
56.530632	;	8.166684	; {13 ISL}
56.530632	;	8.166684	; {13 ISL}
56.372266	;	8.368605	; {14 JPV}
56.372266	;	8.368605	; {14 JPV}
55.095961	;	9.271672	; {15 AK}
55.095961	;	9.271672	; {15 AK}
55.096176	;	9.27376	; {16 AK}
55.096176	;	9.27376	; {16 AK}
55.154543	;	9.347634	; {17 EB}
55.154543	;	9.347634	; {17 EB}
55.06999	;	9.232616	; {18 NG}
55.06999	;	9.232616	; {18 NG}
55.247625	;	9.176555	; {20 JJ}
55.247625	;	9.176555	; {20 JJ}
55.019136	;	9.064297	; {21 PM}
55.019136	;	9.064297	; {21 PM}
55.168029	;	9.240552	; {23 PR}
55.995104	;	9.37287	; {24 WB}
55.995104	;	9.37287	; {24 WB}
55.884361	;	9.163207	; {25 MSH}
55.884361	;	9.163207	; {25 MSH}
55.884361	;	9.163207	; {25 MSH}
55.875387	;	9.188774	; {26 MSH}
55.875387	;	9.188774	; {26 MSH}
55.703309	;	8.533857	; {27 HMH}
55.703309	;	8.533857	; {27 HMH}
55.703309	;	8.533857	; {27 HMH}
54.925722	;	9.049042	; {28 EP}
54.925722	;	9.049042	; {28 EP}
54.925722	;	9.049042	; {28 EP}
54.926067	;	9.057176	; {29 EP}
54.926067	;	9.057176	; {29 EP}
54.926067	;	9.057176	; {29 EP}
54.989679	;	9.428633	; {30 HB}
54.987912	;	9.231997	; {31 AJ}
54.987912	;	9.231997	; {31 AJ}
54.987912	;	9.231997	; {31 AJ}
54.979998	;	9.21592	; {32 AJ}
54.979998	;	9.21592	; {32 AJ}
54.979998	;	9.21592	; {32 AJ}
56.713783	;	9.914341	; {33 vP}
56.713783	;	9.914341	; {33 vP}
56.713783	;	9.914341	; {33 vP}
56.712911	;	9.913009	; {34 vP}
56.712911	;	9.913009	; {34 vP}
56.712911	;	9.913009	; {34 vP}
56.785059	;	10.216808	; {35 AMT 26}
56.785059	;	10.216808	; {35 AMT 26}
56.785059	;	10.216808	; {35 AMT 26}
56.785059	;	10.216808	; {35 AMT 27}
56.721021	;	9.645802	; {36 BR}
56.721021	;	9.645802	; {36 BR}
56.721021	;	9.645802	; {36 BR}
56.1352167	;	8.4462	; {38 RM}
56.2274167	;	8.1723167	; {39 BJS}
56.1205667	;	8.138	; {40 PG }
55.792718	;	9.375414	; {41 JM 2}
55.710912	;	8.339641	; {43 IL}
55.710912	;	8.339641	; {43 IL}
55.826515	;	9.292616	; {44 FG 861}
55.826515	;	9.292616	; {44 FG 861}
55.826515	;	9.292616	; {44 FG 861}
55.104172	;	8.973514	; {45 UM}
55.104172	;	8.973514	; {45 UM}
56.0396333	;	8.38525	; {46 AK}
56.0396333	;	8.38525	; {46 AK}
56.0283500	;	8.3663667	; {47 AK}
56.0397333	;	8.4326	; {48 CC}
56.0397333	;	8.4326	; {48 CC}
56.0397333	;	8.4326	; {48 CC}
56.0387667	;	8.3283167	; {49 CC}
56.0387667	;	8.3283167	; {50 KGN}
56.0387667	;	8.3283167	; {50 KGN}
56.0387667	;	8.3283167	; {50 KGN}