;nodAseq1;nodAseq2;nodAseq3;nodAseq4;nodAseq5;nodAseq6;nodAseq8;nodAseq9;nodAseq10;nodAseq11;nodAseq12;nodAseq13;nodAseq14;nodAseq15;nodAseq16;nodAseq17;nodAseq18;nodAseq19;nodAseq20;nodAseq21;nodAseq22;nodDseq1;nodDseq2;nodDseq3;nodDseq5;nodDseq6;nodDseq7;nodDseq8;nodDseq10;nodDseq11;nodDseq12;nodDseq13;nodDseq14;nodDseq16;nodDseq17;nodDseq18;nodDseq19;nodDseq20;recAseq1;recAseq2;recAseq3;recAseq4;recAseq5;recAseq6;recAseq7;recAseq8;recAseq9;recAseq10;recAseq11;recAseq12;recAseq13;rpoBseq1;rpoBseq2;rpoBseq3;rpoBseq4;rpoBseq5;rpoBseq6;rpoBseq7;rpoBseq8;rpoBseq9;rpoBseq10;rpoBseq11;rpoBseq12;rpoBseq13;rpoBseq14;rpoBseq15;rpoBseq16
1;29;0;1;2;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;167;0;0;0;0;0;5;3;0;0;0;0;0;135;65;0;0;2;0;1;1;0;0;0;3;0;0;1;0
2;4;0;13;0;0;0;2;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;57;0;12;0;0;0;0;1;0;0;0;1;0;5;6;4;0;0;0;0;3;2;0;1;0;0;0;1;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;9;2;0;0;0;3;0;0;0;0;0;0;52;0;7;0;0;0;0;0;0;0;1;1;1;4;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0
4;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;15;29;0;0;0;0;2;0;0;0;0;0;0;0;0;0
5;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;1;0;0;0;0;1;0;0;0;0;4;8;0;1;0;0;1;0;0;0;0;0;0;0;0;0
6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;6;2;5;0;0;0;0;0;0;0;0;0;0;2;0;0
7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;7;0;0;0;0;1;0;0;0;0;19;11;0;2;0;0;1;0;0;0;0;0;0;0;0;0
8;1;0;1;3;9;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;45;0;0;0;0;0;0;0;0;0;0;0;3;0;0;324;0;0;1;0;0;4;0;0;0;0;0;0;12;6;148;0;1;0;0;0;0;0;0;0;0;2;1;0
9;17;0;6;1;30;0;7;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;44;48;0;0;0;0;0;1;0;0;0;3;0;2;0;0;851;0;10;0;0;0;0;0;0;0;0;4;2;72;123;148;0;0;0;12;0;3;0;0;0;0;6;0;0
10;2;0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;26;0;82;0;1;0;0;0;0;0;0;1;0;8;2;0;0;0;0;0;6;22;0;1;0;2;0;0;0
11;6;0;2;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;15;0;0;0;0;1;0;1;0;0;0;0;59;0;17;0;0;0;0;0;0;0;0;2;0;0;44;1;0;0;0;0;3;6;0;6;0;0;1;0;0
12;12;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;1;0;6;0;0;0;0;0;2;0;0;0;632;0;0;3;0;0;0;0;1;0;0;0;0;90;141;0;3;0;0;7;0;0;0;0;0;0;0;0;0
13;25;0;0;251;1;0;1;2;0;0;0;0;0;0;0;4;0;0;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2262;0;0;78;10;8;0;0;3;0;2;0;0;556;363;4;0;2;0;15;1;0;0;0;0;0;1;0;0
14;1;0;1;0;31;0;24;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;454;0;3;0;10;0;1;0;0;0;0;0;0;4;4;221;0;0;0;0;1;0;0;0;0;0;3;3;0
26;9;0;0;0;12;0;0;99;0;0;0;0;0;2;0;0;2;0;1;0;0;0;9;6;0;0;0;116;0;0;0;0;0;1;0;0;0;0;62;0;0;0;211;0;12;0;7;0;6;0;2;13;1;0;0;266;0;1;0;0;0;0;11;0;0;7;0
27;3;0;49;0;0;0;0;2;3;0;0;1;0;0;0;1;0;0;0;0;12;0;6;0;2;0;70;8;0;0;0;0;0;5;0;0;0;0;113;2;44;0;49;0;42;0;2;0;4;0;1;20;3;0;1;104;0;0;10;15;0;0;2;1;0;3;0
28;15;0;2;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;104;0;0;0;0;0;0;0;5;0;0;0;1;87;7;2;0;0;0;0;0;0;0;0;0;0;1;0;0
29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;23;0;0;0;7;0;0;0;0;0;0;37;0;84;0;2;0;2;1;0;0;0;1;0;11;3;0;0;10;0;1;12;34;0;1;0;2;0;0;0
30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;4;7;0;8;0;1;0;0;0;0;0;0;4;0;23;0;8;0;5;0;0;0;0;0;0;1;0;0;0;6;0;0;12;0;0;0;1;0;0;0;0
31;2;0;22;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;7;0;1;0;0;3;0;0;0;8;0;0;0;1;0;0;21;0;18;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
32;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;4;0;0;7;3;0;0;0;0;0;0;0;0;0;0;34;0;0;0;14;0;4;0;3;0;1;0;0;33;0;2;0;22;0;1;0;0;0;0;0;0;0;1;0
33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;80;0;1;0;9;0;0;0;6;0;3;0;0;30;16;0;0;2;0;3;2;0;0;0;5;0;0;0;0
34;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;2;0;0;0;3;0;0;0;1;0;0;0;0;0;0;103;0;1;0;3;0;0;0;2;0;1;0;0;28;14;0;0;0;0;10;0;0;0;0;0;0;0;0;0
41;0;0;20;0;7;0;0;0;17;0;0;0;0;0;0;0;0;0;3;0;0;0;24;25;0;0;9;4;0;6;0;0;0;0;0;0;0;0;51;0;38;0;7;0;0;9;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;0;0;5;0;0;1;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;3;0;40;0;0;0;0;12;0;0;0;0;0;0;16;0;161;0;0;0;0;38;0;0;0;1;0;6;0;0;0;0;0;0;116;3;0;10;0;1;0;0;0
43;0;0;11;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;10;0;8;0;0;6;0;0;0;0;0;0;0;0;101;0;0;0;0;12;0;0;0;0;0;0;0;0;1;0;0;0;102;5;0;11;0;5;0;0;0
23;1;0;7;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;19;0;16;0;0;0;0;3;0;0;0;0;0;1;2;0;0;1;0;0;10;3;0;0;0;1;0;0;0
35;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;19;3;0;0;0;0;0;0;2;0;0;0;103;0;1;0;13;0;4;0;1;0;0;0;0;3;0;12;0;25;0;1;0;0;0;0;1;0;0;1;0
36;1;0;0;0;13;0;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;1;0;0;0;0;0;1;0;0;30;0;0;0;3;0;1;0;0;0;1;0;1;5;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0
37;157;0;0;0;7;0;6;24;0;0;0;1;1;0;1;0;0;0;0;0;1;0;238;15;0;0;2;34;0;0;0;0;0;1;0;1;0;0;86;0;0;0;4;0;3;0;1;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;0;0;32;0;0;0;0;0;14;0;0;2;0;0;0;0;0;0;0;0;0;0;12;0;0;0;10;3;1;0;0;0;0;0;0;0;0;0;6;0;91;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;5;6;0;0;0;2;0;0;0
39;0;0;202;1;0;0;0;0;3;0;0;3;0;0;0;1;0;0;0;0;0;0;184;0;0;0;43;1;0;0;0;0;0;5;0;0;0;0;37;0;643;0;1;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;2;0;2;0;28;0;8;7;3;0;0;1;0;3;0;0;0;0;1;0;0;0;8;61;0;0;4;31;0;14;0;0;0;0;0;4;0;0;358;0;12;0;63;0;0;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;7;0;0;0;4;0;9;2;21;0;0;80;0;2;0;0;0;0;1;0;0;0;9;4;0;0;14;0;0;0;0;0;0;0;0;1;0;0;407;0;131;0;8;0;0;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;1;0;22;0;0;1;0;0;0;0;0;9;0;0;0;0;0;0;2;0;0;0;11;0;0;0;3;0;1;7;0;0;0;0;0;0;0;0;80;0;19;0;0;0;0;0;0;0;0;1;0;3;0;0;0;1;0;0;1;41;0;2;1;2;0;0;0
49;2;0;1;0;48;0;7;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;371;0;1;0;1;0;0;0;1;0;0;0;1;32;10;74;0;1;0;14;0;0;0;0;0;0;0;0;0
15;0;0;0;0;42;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;170;0;0;0;0;0;0;0;0;0;1;0;13;0;0;402;0;0;0;0;0;0;0;0;0;0;0;0;1;4;327;0;0;0;1;0;0;0;0;0;0;1;0;0
16;1;0;1;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;1;0;0;3;23;0;2;0;0;0;0;0;0;0;0;7;0;1;0;5;0;41;0;0;0;3;0;0;1;1;0;0;48;0;0;0;0;0;0;1;0;0;1;0
17;127;0;0;0;9;0;36;0;0;0;0;0;2;1;1;0;1;0;0;0;0;0;150;13;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1001;0;0;0;6;0;0;0;2;0;0;0;1;61;187;394;0;2;0;0;0;0;0;0;0;0;8;0;1
44;5;0;149;0;0;2;0;0;5;0;0;2;0;0;0;1;0;0;0;0;0;0;62;0;2;0;11;2;30;2;0;0;0;0;0;0;0;0;132;0;131;0;0;0;0;0;0;0;0;2;1;25;8;0;3;0;0;0;14;28;0;1;0;1;0;0;0
24;0;0;8;0;0;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;19;0;0;0;0;5;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;34;0;7;0;10;0;0;0
25;0;0;100;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;3;0;0;0;0;30;0;0;0;0;0;0;1;0;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;15;0;5;0;3;0;0;0
45;2;0;0;0;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;4;0;0;0;0;0;0;0;0;0;0;3;0;0;0;5;0;2;0;3;0;1;0;0;4;0;0;0;8;0;0;0;0;0;0;1;0;0;0;2
40;1;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;2;0;0;0;0;0;0;2;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;11;0;13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;17;0;0;0;0;0;0;0;0;1;0;3;12;0;0;0;0;0;4;0;0;0;0;0;0;0;0
50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124;0;0;0;0;0;0;0;1;0;1;86;2;0;0;0;0;0;1;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0
91;9;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;155;0;0;5;0;1;0;0;0;0;0;0;0;30;70;0;0;0;0;3;0;0;0;0;0;0;0;0;0
92;18;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;91;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;333;0;0;18;0;4;0;0;0;0;0;0;0;109;112;0;0;0;0;18;0;0;0;0;0;0;0;0;0
93;170;0;0;74;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;464;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;460;0;0;22;0;8;0;0;0;0;0;0;0;12;5;0;0;0;0;2;0;0;0;0;0;0;0;0;0
94;43;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;92;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;295;0;0;36;0;9;0;0;0;0;0;0;0;209;139;0;0;0;0;15;0;0;0;0;0;0;0;0;0
95;45;0;0;99;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;3;0;0;113;0;0;0;0;0;0;1;0;0;0;0;10;0;0;0;228;0;0;178;0;95;0;0;0;0;0;0;0;292;74;0;0;0;0;105;0;0;0;0;0;0;0;0;0
96;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;6;0;2;0;0;0;0;0;0;0;18;14;0;0;0;0;1;0;0;0;0;0;0;0;0;0
97;5;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;16;0;5;0;0;0;0;0;0;0;42;12;0;0;0;0;1;0;0;0;0;0;0;0;0;0
98;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;12;0;0;6;0;0;0;0;0;0;0;0;0;57;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0
99;85;0;0;23;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;106;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;399;0;0;32;0;0;0;0;0;0;0;0;0;120;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;2;0;3;0;0;0;0;0;0;0;16;35;0;0;0;0;5;0;0;0;0;0;0;0;0;0
101;1;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;58;0;0;68;0;1;0;0;0;0;0;0;0;74;30;0;0;0;0;2;0;0;0;0;0;0;0;0;0
102;9;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;94;0;0;9;0;4;0;0;0;0;0;0;0;13;31;0;0;0;0;1;0;0;0;0;0;0;0;0;0
103;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;17;0;0;0;0;0;0;0;0;0;23;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0
104;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;4;0;0;0;0;0;0;0;0;0;19;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;25;0;0;43;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0;44;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;10;0;0;61;0;9;0;0;0;0;0;0;0;113;12;0;0;0;0;20;0;0;0;0;0;0;0;0;0
106;3;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;17;0;5;0;0;0;0;0;0;0;79;8;0;0;0;0;2;0;0;0;0;0;0;0;0;0
107;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;22;0;0;7;0;2;0;0;0;0;0;0;0;48;10;0;0;0;0;3;0;0;0;0;0;0;0;0;0
108;1;0;0;21;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;33;0;1;0;0;0;0;0;0;0;78;8;0;0;0;0;4;0;0;0;0;0;0;0;0;0
109;14;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;0;0;0;0;2;0;0;0;0;0;0;0;30;74;0;0;0;0;1;0;0;0;0;0;0;0;0;0
110;18;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;7;0;6;0;0;0;0;0;0;0;70;34;0;0;0;0;16;0;0;0;0;0;0;0;0;0
111;8;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;8;0;0;0;0;0;0;0;0;0;52;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;22;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;3;0;0;0;0;0;0;0;0;0;116;50;0;0;0;0;7;0;0;0;0;0;0;0;0;0
113;21;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;5;0;0;0;0;0;0;0;26;12;0;0;0;0;23;0;0;0;0;0;0;0;0;0
114;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;5;0;4;0;0;0;0;0;0;0;89;17;0;0;0;0;9;0;0;0;0;0;0;0;0;0
115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0
116;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;1;0;0;0;0;0;0;0;49;15;0;0;0;0;2;0;0;0;0;0;0;0;0;0
120;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11;0;0;3;0;0;0;0;0;0;0;0;0;55;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;4;0;9;0;0;0;0;0;0;0;81;36;0;0;0;0;12;0;0;0;0;0;0;0;0;0
122;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;19;0;0;5;0;0;0;0;0;0;0;0;0;24;11;1;0;0;0;1;0;0;0;0;0;0;0;0;0
