sample_grouping;Same_number_for_DLF;different_between_trials;field_number
UK_100_UK;19;19;105
UK_117_UK;1;1;105
UK_109_UK;2;2;105
UK_129_UK;3;3;105
UK_93_UK;4;4;105
UK_96_UK;5;5;105
UK_115_UK;20;20;105
UK_130_UK;6;6;105
UK_120_UK;7;7;105
UK_102_UK;8;8;105
UK_128_UK;9;9;105
UK_103_UK;8;8;105
UK_113_UK;5;5;105
UK_123_UK;7;7;105
UK_122_UK;9;9;105
UK_106_UK;20;20;105
UK_112_UK;4;4;105
UK_105_UK;6;6;105
UK_107_UK;1;1;105
UK_121_UK;19;19;105
UK_91_UK;2;2;105
UK_101_UK;3;3;105
UK_97_UK;10;10;106
UK_92_UK;11;11;106
UK_94_UK;12;12;106
UK_124_UK;13;13;106
UK_108_UK;14;14;106
UK_116_UK;14;14;106
UK_99_UK;13;13;106
UK_114_UK;11;11;106
UK_95_UK;12;12;106
UK_118_UK;10;10;106
UK_119_UK;15;15;107
UK_110_UK;16;16;107
UK_98_UK;17;17;107
UK_127_UK;18;18;107
UK_126_UK;16;16;107
UK_104_UK;18;18;107
UK_125_UK;15;15;107
UK_111_UK;17;17;107
DK_135_DK;19;39;105
DK_154_DK;1;21;105
DK_149_DK;2;22;105
DK_138_DK;3;23;105
DK_167_DK;4;24;105
DK_157_DK;5;25;105
DK_137_DK;20;40;105
DK_145_DK;6;26;105
DK_146_DK;7;27;105
DK_151_DK;8;28;105
DK_150_DK;9;29;105
DK_153_DK;8;28;105
DK_168_DK;5;25;105
DK_160_DK;7;27;105
DK_170_DK;9;29;105
DK_162_DK;20;40;105
DK_132_DK;4;24;105
DK_163_DK;6;26;105
DK_165_DK;1;21;105
DK_144_DK;19;39;105
DK_142_DK;2;22;105
DK_143_DK;3;23;105
DK_166_DK;10;30;106
DK_141_DK;11;31;106
DK_155_DK;12;32;106
DK_159_DK;13;33;106
DK_134_DK;14;34;106
DK_133_DK;14;34;106
DK_131_DK;13;33;106
DK_152_DK;11;31;106
DK_147_DK;12;32;106
DK_148_DK;10;30;106
DK_169_DK;15;35;107
DK_161_DK;16;36;107
DK_139_DK;17;37;107
DK_136_DK;18;38;107
DK_158_DK;16;36;107
DK_156_DK;18;38;107
DK_140_DK;15;35;107
DK_164_DK;17;37;107
F_60_F;19;59;105
F_70_F;1;41;105
F_64_F;2;42;105
F_69_F;3;43;105
F_62_F;4;44;105
F_76_F;5;45;105
F_56_F;20;60;105
F_55_F;6;46;105
F_73_F;7;47;105
F_65_F;8;48;105
F_53_F;9;49;105
F_52_F;8;48;105
F_83_F;5;45;105
F_78_F;7;47;105
F_75_F;9;49;105
F_71_F;20;60;105
F_67_F;4;44;105
F_63_F;6;46;105
F_77_F;1;41;105
F_58_F;19;59;105
F_81_F;2;42;105
F_54_F;3;43;105
F_84_F;10;50;106
F_59_F;11;51;106
F_61_F;12;52;106
F_68_F;13;53;106
F_51_F;14;54;106
F_80_F;14;54;106
F_88_F;13;53;106
F_57_F;11;51;106
F_87_F;12;52;106
F_72_F;10;50;106
F_82_F;15;55;107
F_90_F;16;56;107
F_74_F;17;57;107
F_66_F;18;58;107
F_85_F;15;55;107
F_89_F;18;58;107
F_79_F;17;57;107
F_86_F;16;56;107
DKO_1_DKO_1;K+D;K+D;
DKO_2_DKO_1;K+D;K+D;
DKO_3_DKO_1;K+D;K+D;
DKO_4_DKO_1;K+D;K+D;
DKO_5_DKO_1;K+D;K+D;
DKO_6_DKO_1;K+D;K+D;
DKO_7_DKO_1;Lx;Lx;
DKO_8_DKO_1;Lx;Lx;
DKO_9_DKO_1;Lx;Lx;
DKO_10_DKO_1;K+D;K+D;
DKO_11_DKO_1;K+D;K+D;
DKO_12_DKO_1;K+D;K+D;
DKO_13_DKO_1;K+D;K+D;
DKO_14_DKO_1;K;K;
DKO_15_DKO_4;K+D;K+D;
DKO_16_DKO_4;K+D;K+D;
DKO_17_DKO_4;K+D;K+D;
DKO_18_DKO_4;K+D;K+D;
DKO_19_DKO_4;K+D;K+D;
DKO_20_DKO_4;K+D;K+D;
DKO_21_DKO_4;K+D;K+D;
DKO_22_DKO_4;K+D;K+D;
DKO_23_DKO_4;K+D;K+D;
DKO_24_DKO_5;K+D;K+D;
DKO_25_DKO_5;K+D;K+D;
DKO_26_DKO_5;K+D;K+D;
DKO_27_DKO_3;K+D;K+D;
DKO_28_DKO_4;K+D;K+D;
DKO_29_DKO_4;K+D;K+D;
DKO_30_DKO_4;K;K;
DKO_31_DKO_4;K+D;K+D;
DKO_32_DKO_4;K+D;K+D;
DKO_33_DKO_6;K+D;K+D;
DKO_34_DKO_6;K+D;K+D;
DKO_35_DKO_6;Lx+Lp+A;Lx+Lp+A;
DKO_50_DKO_6;Lx+Lp+A;Lx+Lp+A;
DKO_36_DKO_6;K;K;
DKO_37_DKO_2;K+D;K+D;
DKO_38_DKO_2;S;S;
DKO_39_DKO_2;Lx+A;Lx+A;
DKO_40_DKO_5;K+D;K+D;
DKO_41_DKO_3;K+D;K+D;
DKO_42_DKO_3;K+D;K+D;
DKO_43_DKO_5;K+D;K+D;
DKO_44_DKO_4;K+D;K+D;
DKO_45_DKO_2;S;S;
DKO_46_DKO_2;S;S;
DKO_47_DKO_2;S;S;
DKO_48_DKO_2;K+D;K+D;
DKO_49_DKO_2;K+D;K+D;