order;Sample;Sample1;Origin;ID;Field;plot;Grouping;Lat;Long
1;DKO_1;1;DKO;1 JJ;JJ;JJ;DKO_1;56.502766	;	8.241654
2;DKO_2;2;DKO;2 PB;PB;PB;DKO_1;56.47816;8.200646
3;DKO_3;3;DKO;3 ORP;ORP;ORP;DKO_1;56.379132;8.338065
4;DKO_4;4;DKO;4 HPK;HPK;HPK;DKO_1;56.531398;8.431741
5;DKO_5;5;DKO;5HPK;HPK;HPK;DKO_1;56.530332;8.430375
6;DKO_6;6;DKO;6 LN;LN;LN;DKO_1;56.468536;8.233101
7;DKO_7;7;DKO;7 MJ;MJ;MJ;DKO_1;56.458281;8.527743
8;DKO_8;8;DKO;8 HB;HB;HB;DKO_1;56.435811;8.310727
9;DKO_9;9;DKO;9 HB;HB;HB;DKO_1;56.436327;8.308107
10;DKO_10;10;DKO;10 JSK;JSK;JSK;DKO_1;56.468822;8.211426
11;DKO_11;11;DKO;11 JSK;JSK;JSK;DKO_1;56.468748;8.215242
12;DKO_12;12;DKO;12 ISL;ISL;ISL;DKO_1;56.533696;8.184356
13;DKO_13;13;DKO;13 ISL;ISL;ISL;DKO_1;56.530632;8.166684
14;DKO_14;14;DKO;14 JPV;JPV;JPV;DKO_1;56.372266;8.368605
26;DKO_15;15;DKO;15 AK;AK;AK;DKO_4;55.095961;9.271672
27;DKO_16;16;DKO;16 AK;AK;AK;DKO_4;55.096176;9.27376
28;DKO_17;17;DKO;17 EB;EB;EB;DKO_4;55.154543;9.347634
29;DKO_18;18;DKO;18 NG;NG;NG;DKO_4;55.06999;9.232616
30;DKO_19;19;DKO;19 JJ;JJ;JJ;DKO_4;55.249879;9.179701
31;DKO_20;20;DKO;20 JJ;JJ;JJ;DKO_4;55.247625;9.176555
32;DKO_21;21;DKO;21 PM;PM;PM;DKO_4;55.019136;9.064297
33;DKO_22;22;DKO;22 PM;PM;PM;DKO_4;55.017658;9.063319
34;DKO_23;23;DKO;23 PR;PR;PR;DKO_4;55.168029;9.240552
41;DKO_24;24;DKO;24 WB;WB;WB;DKO_5;55.995104;9.37287
42;DKO_25;25;DKO;25 MSH;MSH;MSH;DKO_5;55.884361;9.163207
43;DKO_26;26;DKO;26 MSH;MSH;MSH;DKO_5;55.875387;9.188774
23;DKO_27;27;DKO;27 HMH;HMH;HMH;DKO_3;55.703309;8.533857
35;DKO_28;28;DKO;28 EP;EP;EP;DKO_4;54.925722;9.049042
36;DKO_29;29;DKO;29 EP;EP;EP;DKO_4;54.926067;9.057176
37;DKO_30;30;DKO;30 HB;HB;HB;DKO_4;54.989679;9.428633
38;DKO_31;31;DKO;31 AJ;AJ;AJ;DKO_4;54.987912;9.231997
39;DKO_32;32;DKO;32 AJ;AJ;AJ;DKO_4;54.979998;9.21592
46;DKO_33;33;DKO;33 vP;vP;vP;DKO_6;56.713783;9.914341
47;DKO_34;34;DKO;34 vP;vP;vP;DKO_6;56.712911;9.913009
48;DKO_35;35;DKO;35 AMT 26;AMT;AMT;DKO_6;56.785059;10.216808
49;DKO_36;36;DKO;36 BR;BR;BR;DKO_6;56.721021;9.645802
15;DKO_37;37;DKO;38 RM;RM;RM;DKO_2;56.1352167;8.4462
16;DKO_38;38;DKO;39 BJS;BJS;BJS;DKO_2;56.2274167;8.1723167
17;DKO_39;39;DKO;40 PG ;PG;PG;DKO_2;56.1205667;8.138
44;DKO_40;40;DKO;41 JM 2;JM;JM;DKO_5;55.792718;9.375414
24;DKO_41;41;DKO;42 KFN;KFN;KFN;DKO_3;55.773306;8.383066
25;DKO_42;42;DKO;43 IL;IL;IL;DKO_3;55.710912;8.339641
45;DKO_43;43;DKO;44 FG 861;FG;FG;DKO_5;55.826515;9.292616
40;DKO_44;44;DKO;45 UM;UM;UM;DKO_4;55.104172;8.973514
18;DKO_45;45;DKO;46 AK;AK;AK;DKO_2;56.0396333;8.38525
19;DKO_46;46;DKO;47 AK;AK;AK;DKO_2;56.0283500;8.3663667
20;DKO_47;47;DKO;48 CC;CC;CC;DKO_2;56.038496;8.431127
21;DKO_48;48;DKO;49 CC;CC;CC;DKO_2;56.038789;8.426152
22;DKO_49;49;DKO;50 KGN;KGN;KGN;DKO_2;56.0387667;8.3283167
50;DKO_50;50;DKO;35 AMT 27;AMT;AMT;DKO_6;56.785059;10.216808
91;F_51;51;F;106-11F;106;11;F;;
92;F_52;52;F;105-19F;105;19;F;;
93;F_53;53;F;105-18F;105;18;F;;
94;F_54;54;F;105-36F;105;36;F;;
95;F_55;55;F;105-15F;105;15;F;;
96;F_56;56;F;105-14F;105;14;F;;
97;F_57;57;F;106-30F;106;30;F;;
98;F_58;58;F;105-31F;105;31;F;;
99;F_59;59;F;106-7F;106;7;F;;
100;F_60;60;F;105-2F;105;2;F;;
101;F_61;61;F;106-9F;106;9;F;;
102;F_62;62;F;105-12F;105;12;F;;
103;F_63;63;F;105-27F;105;27;F;;
104;F_64;64;F;105-5F;105;5;F;;
105;F_65;65;F;105-17F;105;17;F;;
106;F_66;66;F;107-16F;107;16;F;;
107;F_67;67;F;105-26F;105;26;F;;
108;F_68;68;F;106-10F;106;10;F;;
109;F_69;69;F;105-6F;105;6;F;;
110;F_70;70;F;105-4F;105;4;F;;
111;F_71;71;F;105-25F;105;25;F;;
112;F_72;72;F;106-36F;106;36;F;;
113;F_73;73;F;105-16F;105;16;F;;
114;F_74;74;F;107-15F;107;15;F;;
115;F_75;75;F;105-23F;105;23;F;;
116;F_76;76;F;105-13F;105;13;F;;
117;F_77;77;F;105-29F;105;29;F;;
118;F_78;78;F;105-21F;105;21;F;;
119;F_79;79;F;107-28F;107;28;F;;
120;F_80;80;F;106-24F;106;24;F;;
121;F_81;81;F;105-31F;105;31;F;;
122;F_82;82;F;107-11F;107;11;F;;
123;F_83;83;F;105-20F;105;20;F;;
124;F_84;84;F;106-6F;106;6;F;;
125;F_85;85;F;107-20F;107;20;F;;
126;F_86;86;F;107-29F;107;29;F;;
127;F_87;87;F;106-32F;106;32;F;;
128;F_88;88;F;106-28F;106;28;F;;
129;F_89;89;F;107-27F;107;27;F;;
130;F_90;90;F;107-13F;107;13;F;;
131;UK_91;91;UK;105-34UK;105;34;UK;;
132;UK_92;92;UK;106-7UK;106;7;UK;;
133;UK_93;93;UK;105-12UK;105;12;UK;;
134;UK_94;94;UK;106-9UK;106;9;UK;;
135;UK_95;95;UK;106-32UK;106;32;UK;;
136;UK_96;96;UK;105-13UK;105;13;UK;;
137;UK_97;97;UK;106-6UK;106;6;UK;;
138;UK_98;98;UK;107-15UK;107;15;UK;;
139;UK_99;99;UK;106-24UK;106;24;UK;;
140;UK_100;100;UK;105-2UK;105;2;UK;;
141;UK_101;101;UK;105-36UK;105;36;UK;;
142;UK_102;102;UK;105-17UK;105;17;UK;;
143;UK_103;103;UK;105-19UK;105;19;UK;;
144;UK_104;104;UK;107-21UK;107;21;UK;;
145;UK_105;105;UK;105-27UK;105;27;UK;;
146;UK_106;106;UK;105-25UK;105;25;UK;;
147;UK_107;107;UK;105-29UK;105;29;UK;;
148;UK_108;108;UK;106-11UK;106;11;UK;;
149;UK_109;109;UK;105-5UK;105;5;UK;;
150;UK_110;110;UK;107-13UK;107;13;UK;;
151;UK_111;111;UK;107-27UK;107;27;UK;;
152;UK_112;112;UK;105-26UK;105;26;UK;;
153;UK_113;113;UK;105-20UK;105;20;UK;;
154;UK_114;114;UK;106-30UK;106;30;UK;;
155;UK_115;115;UK;105-14UK;105;14;UK;;
156;UK_116;116;UK;106-22UK;106;22;UK;;
157;UK_117;117;UK;105-4UK;105;4;UK;;
158;UK_118;118;UK;106-36UK;106;36;UK;;
159;UK_119;119;UK;107-11UK;107;11;UK;;
160;UK_120;120;UK;105-16UK;105;16;UK;;
161;UK_121;121;UK;105-31UK;105;31;UK;;
162;UK_122;122;UK;105-23UK;105;23;UK;;
163;UK_123;123;UK;105-21UK;105;21;UK;;
164;UK_124;124;UK;106-10UK;106;10;UK;;
165;UK_125;125;UK;107-22UK;107;22;UK;;
166;UK_126;126;UK;107-20UK;107;20;UK;;
167;UK_127;127;UK;107-16UK;107;16;UK;;
168;UK_128;128;UK;105-18UK;105;18;UK;;
169;UK_129;129;UK;105-6UK;105;6;UK;;
170;UK_130;130;UK;105-15UK;105;15;UK;;
51;DK_131;131;DK;106-24DK;106;24;DK;;
52;DK_132;132;DK;105-26DK;105;26;DK;;
53;DK_133;133;DK;106-22DK;106;22;DK;;
54;DK_134;134;DK;106-11DK;106;11;DK;;
55;DK_135;135;DK;105-2DK;105;2;DK;;
56;DK_136;136;DK;107-16DK;107;16;DK;;
57;DK_137;137;DK;105-14DK;105;14;DK;;
58;DK_138;138;DK;105-6DK;105;6;DK;;
59;DK_139;139;DK;107-15DK;107;15;DK;;
60;DK_140;140;DK;107-22DK;107;22;DK;;
61;DK_141;141;DK;106-7DK;106;7;DK;;
62;DK_142;142;DK;105-34DK;105;34;DK;;
63;DK_143;143;DK;105-36DK;105;36;DK;;
64;DK_144;144;DK;105-31DK;105;31;DK;;
65;DK_145;145;DK;105-15DK;105;15;DK;;
66;DK_146;146;DK;105-16DK;105;16;DK;;
67;DK_147;147;DK;106-32DK;106;32;DK;;
68;DK_148;148;DK;106-36DK;106;36;DK;;
69;DK_149;149;DK;105-5DK;105;5;DK;;
70;DK_150;150;DK;105-18DK;105;18;DK;;
71;DK_151;151;DK;105-17DK;105;17;DK;;
72;DK_152;152;DK;106-30DK;106;30;DK;;
73;DK_153;153;DK;105-19DK;105;19;DK;;
74;DK_154;154;DK;105-4DK;105;4;DK;;
75;DK_155;155;DK;106-9DK;106;9;DK;;
76;DK_156;156;DK;107-21DK;107;21;DK;;
77;DK_157;157;DK;105-13DK;105;13;DK;;
78;DK_158;158;DK;107-20DK;107;20;DK;;
79;DK_159;159;DK;106-10DK;106;10;DK;;
80;DK_160;160;DK;105-21DK;105;21;DK;;
81;DK_161;161;DK;107-13DK;107;13;DK;;
82;DK_162;162;DK;105-25DK;105;25;DK;;
83;DK_163;163;DK;105-27DK;105;27;DK;;
84;DK_164;164;DK;107-27DK;107;27;DK;;
85;DK_165;165;DK;105-29DK;105;29;DK;;
86;DK_166;166;DK;106-6DK;106;6;DK;;
87;DK_167;167;DK;105-12DK;105;12;DK;;
88;DK_168;168;DK;105-20DK;105;20;DK;;
89;DK_169;169;DK;107-11DK;107;11;DK;;
90;DK_170;170;DK;105-23DK;105;23;DK;;